"","prey","svspp","year","mean","lci","uci"
"241","all",15,1973,NA,0,0
"242","all",15,1974,NA,0,0
"243","all",15,1975,NA,0,0
"244","all",15,1976,NA,0,0
"245","all",15,1977,35818600663.014,7314089829.61268,122908450382.536
"246","all",15,1978,66656506978.7763,18982273838.1397,177707353333.003
"247","all",15,1979,46811687492.5144,4210650944.60688,171267745831.186
"248","all",15,1980,9494698848.42237,571302557.317993,34794559558.5015
"249","all",15,1981,77292869469.4098,409589574.841319,458810020128.809
"250","all",15,1982,82670189757.3996,14429594905.8197,289767116758.091
"251","all",15,1983,257773443619.432,37215213694.4075,748183769584.042
"252","all",15,1984,284696424455.438,46155193273.0953,661111951621.309
"253","all",15,1985,133037889073.42,18321439166.0684,504144810843.252
"254","all",15,1986,285692256807.772,52674050597.3833,1016058532741.63
"255","all",15,1987,220692239239.772,21950186873.3533,646644175203.353
"256","all",15,1988,169166585216.509,36190528699.6202,478585519943.184
"257","all",15,1989,85508876136.9684,15164624947.8521,214495712015.187
"258","all",15,1990,106396355084.821,3598873576.9297,442345509901.219
"259","all",15,1991,218065346238.68,42056543606.6854,582430131271.301
"260","all",15,1992,356081835821.984,38984075774.4308,1733973186429.39
"261","all",15,1993,61675991901.9493,10090475842.1503,183881722015.52
"262","all",15,1994,144755842674.981,16772276672.8041,486957923720.769
"263","all",15,1995,137848452783.203,18118235234.9313,351459211989.805
"264","all",15,1996,187938038587.927,27067684837.444,908170298060.233
"265","all",15,1997,137348238016.257,18695812432.2269,433743557937.662
"266","all",15,1998,99904407825.118,4795540221.52112,415836775664.706
"267","all",15,1999,95002430927.9802,7600606547.04754,357961186031.432
"268","all",15,2000,142846921021.162,14707686222.3048,381596856266.087
"269","all",15,2001,89732872480.4043,16773207564.0719,255114641894.126
"270","all",15,2002,249970171445.12,67678891100.4665,545331482152.734
"271","all",15,2003,143779800900.122,2954405278.73939,836195261436.596
"272","all",15,2004,126123448432.511,25326685002.8202,325353996548.113
"273","all",15,2005,133987482639.653,13500330163.993,439477833069.95
"274","all",15,2006,321404086908.588,64573534089.2295,1041199216965.99
"275","all",15,2007,113710004847.12,17808476614.897,330712525137.188
"276","all",15,2008,426642119807.947,42500395768.9161,2066186871086.58
"277","all",15,2009,230956592779.366,40328892718.2234,604615009961.649
"278","all",15,2010,58815871548.2606,2826392273.8933,174509649477.986
"279","all",15,2011,78050203615.4895,4518136323.39959,259531835633.301
"280","all",15,2012,749338063951.761,71204581379.7103,2826965696327.97
"281","all",15,2013,107535810583.972,14400990065.4306,331138594187.679
"282","all",15,2014,187680876872.829,44079853957.3658,490728925329.826
"283","all",15,2015,59557364499.0344,9333386069.50598,198337729879.385
"284","all",15,2016,478247725714.815,12142660899.3934,1699055745299.09
"285","all",15,2017,55167522030.1277,4456979098.07516,258447261462.124
"286","all",15,2018,49923654240.8542,7265827715.19484,153673090036.264
"287","all",15,2019,45585094267.1155,3305871829.60003,172215537638.082
"288","all",15,2020,NA,0,0
"481","all",23,1973,NA,0,0
"482","all",23,1974,NA,0,0
"483","all",23,1975,NA,0,0
"484","all",23,1976,NA,0,0
"485","all",23,1977,10403866808.3492,3171300367.74409,22914097658.9015
"486","all",23,1978,14195947997.5904,3221856760.17666,38604018763.5663
"487","all",23,1979,49585301550.9911,6896149553.59067,164846587177.081
"488","all",23,1980,11776146184.369,3064840742.3072,34585865328.7545
"489","all",23,1981,NA,0,0
"490","all",23,1982,154203697661.351,18231588770.7322,509148529438.291
"491","all",23,1983,0,0,0
"492","all",23,1984,45480962976.7848,9498007798.34627,134012070348.326
"493","all",23,1985,11869782290.4221,2852176854.5775,30826520097.1294
"494","all",23,1986,112356373045.889,16285535275.5181,301504732670.394
"495","all",23,1987,55002172651.5367,11650210284.2396,142531613385.803
"496","all",23,1988,39777956898.894,6351626568.81995,120412736929.417
"497","all",23,1989,17035906415.0153,4469894145.12834,40487384269.3065
"498","all",23,1990,32105906113.9386,5833950766.20634,108479464586.229
"499","all",23,1991,19850806500.351,4106957344.1664,45481218708.7912
"500","all",23,1992,23011488016.3863,5536183298.82508,66082792930.0227
"501","all",23,1993,16059977363.7735,5516228677.0592,43714181759.0206
"502","all",23,1994,29265433197.3519,6344340380.37351,79104452356.0505
"503","all",23,1995,18619599432.8016,3904373959.761,62790029815.8588
"504","all",23,1996,12628680588.1467,2474874793.25458,30532365172.8732
"505","all",23,1997,20251667253.2546,3978436689.08677,58817160910.9577
"506","all",23,1998,22192994279.137,4246833090.83681,51566135246.1897
"507","all",23,1999,46125678496.1055,10609879571.9361,188535109750.359
"508","all",23,2000,57146136712.0501,12569584624.6354,163743373907.553
"509","all",23,2001,23782508211.1913,4043361263.87012,70978196338.6259
"510","all",23,2002,33341813612.1845,7630069430.70893,93693230528.6424
"511","all",23,2003,23824368074.9874,4377932205.00612,81794713828.6301
"512","all",23,2004,39402239870.0056,6239221012.46317,135758208412.21
"513","all",23,2005,14845803096.9002,3136692021.57366,36000792101.152
"514","all",23,2006,26967472748.6172,4277256248.59744,67377457374.786
"515","all",23,2007,57171416553.5624,7378720266.78468,176849378801.364
"516","all",23,2008,62177165881.2384,12891120736.8647,131558209796.367
"517","all",23,2009,37291068572.9082,6596564078.84485,87876800731.024
"518","all",23,2010,42001835534.2637,11683140006.6431,118246911842.162
"519","all",23,2011,65808255607.1684,6620249917.78171,202894451491.245
"520","all",23,2012,42225935324.5914,12565987350.3213,99506806370.4023
"521","all",23,2013,50475177539.4427,11058423269.818,149850668314.188
"522","all",23,2014,55457817083.9782,1664590595.06927,262228965883.515
"523","all",23,2015,18739854690.0873,3755141468.80114,68367854448.1826
"524","all",23,2016,34402218332.8812,7107027633.09643,111250051946.314
"525","all",23,2017,10718538567.6787,2394703306.44303,28397051073.594
"526","all",23,2018,26366235937.8719,6938872421.92528,69263760441.7172
"527","all",23,2019,27772644652.5631,4419143801.17816,73407325814.4412
"528","all",23,2020,NA,0,0
"529","all",28,1973,NA,0,0
"530","all",28,1974,NA,0,0
"531","all",28,1975,NA,0,0
"532","all",28,1976,NA,0,0
"533","all",28,1977,441439992.004016,75265418.0761259,1236201270.00819
"534","all",28,1978,3047333330.85776,761534475.418774,10487985284.3726
"535","all",28,1979,17465236277.3436,863315961.563388,62542860835.3014
"536","all",28,1980,0,0,0
"537","all",28,1981,NA,0,0
"538","all",28,1982,NA,0,0
"539","all",28,1983,NA,0,0
"540","all",28,1984,NA,0,0
"541","all",28,1985,8786998589.33153,2173745927.25042,20311502011.277
"542","all",28,1986,10933038094.2103,3439546469.65528,22599522656.6595
"543","all",28,1987,2286578644.36271,643512568.222426,4997320437.42841
"544","all",28,1988,5777013107.27209,1012922968.82347,15157578614.4282
"545","all",28,1989,3413659912.46861,898980538.520448,8357798214.62661
"546","all",28,1990,3043191094.75322,1003973733.90094,6095853962.94574
"547","all",28,1991,10015718936.731,3044611093.42763,23160993925.3778
"548","all",28,1992,5693480521.18097,1257445575.8471,12892864665.4171
"549","all",28,1993,5339444233.64262,1733703278.18778,12498562205.7185
"550","all",28,1994,11632766032.6115,2592221829.72543,29171132058.4652
"551","all",28,1995,6751629985.96181,1524778045.11527,16747321457.1164
"552","all",28,1996,3141070694.43584,572602640.000816,12353677988.1217
"553","all",28,1997,9166251611.03357,2370857219.51395,20802060479.7969
"554","all",28,1998,4381470933.77638,1302711098.60891,11335926089.5741
"555","all",28,1999,3535771869.31519,1198235893.19072,8911293148.95364
"556","all",28,2000,2883713477.2691,827002352.199264,6048816873.45024
"557","all",28,2001,4487818943.89096,835216204.412227,11120056588.4511
"558","all",28,2002,3446498308.53304,824627920.783818,7463184387.15368
"559","all",28,2003,9850544073.48027,2240782238.52956,24144892633.406
"560","all",28,2004,5635243718.38573,1617503240.79231,12522888335.2977
"561","all",28,2005,706281430.908211,224304076.552151,2048280605.53512
"562","all",28,2006,3356439545.90486,561066757.47302,8241276009.22997
"563","all",28,2007,444867397.199152,117628572.207565,921054534.116786
"564","all",28,2008,1186179137.45542,319713704.674128,2264243490.26873
"565","all",28,2009,1519773293.17966,400393332.361131,3963820885.4913
"566","all",28,2010,1847628278.8954,612439539.584918,4522293707.32553
"567","all",28,2011,3578481249.35647,836571194.83107,11919466410.7566
"568","all",28,2012,818403604.720081,226254273.400935,1749698050.05487
"569","all",28,2013,970432975.917643,306601171.821329,1758202750.21352
"570","all",28,2014,1984091561.08939,731132837.54967,4430540443.38551
"571","all",28,2015,1705568282.87049,334991767.180297,4249751987.77272
"572","all",28,2016,722902022.400298,206579514.235739,1925665957.47173
"573","all",28,2017,1093110611.50336,242150163.347818,2664374291.52543
"574","all",28,2018,892300117.859318,209798980.538483,1789165510.63195
"575","all",28,2019,2448486513.58527,845206329.869077,5881517950.26891
"576","all",28,2020,NA,0,0
"577","all",72,1973,71117804125.7061,8020910749.55457,222343509556.839
"578","all",72,1974,71969814834.7543,10377930277.7032,266714109224.857
"579","all",72,1975,52436630869.9307,4271153786.17527,118586131524.833
"580","all",72,1976,82485438298.2239,17089924167.2465,221774238039.406
"581","all",72,1977,73017689352.1289,11494018329.2361,242586491469.218
"582","all",72,1978,59992597019.7437,13598143055.0069,138296460153.304
"583","all",72,1979,20350168742.8992,4945206510.11866,49463282999.611
"584","all",72,1980,40871888473.9227,6553993947.12914,101429238467.752
"585","all",72,1981,94045842850.8994,12573280916.2383,215497686257.77
"586","all",72,1982,91274584369.5642,14536914643.169,364319216848.892
"587","all",72,1983,0,0,0
"588","all",72,1984,NA,0,0
"589","all",72,1985,176353074090.084,42066959747.6222,621929895678.046
"590","all",72,1986,113923153974.016,20074279628.0302,290774613921.184
"591","all",72,1987,68407501106.438,12445037013.9144,176439775138.778
"592","all",72,1988,81430335635.0139,20914668099.5386,210710459681.028
"593","all",72,1989,48336541874.3144,12862629898.8882,122147742862.648
"594","all",72,1990,209660015751.969,44188037025.5996,629409869236.269
"595","all",72,1991,132170872060.841,22795734829.9526,347671485379.806
"596","all",72,1992,80930198578.1511,18213571167.8504,202329531072.772
"597","all",72,1993,32366071840.5531,10080110684.1142,72590572428.4492
"598","all",72,1994,24737478522.8503,7766570434.39151,62310564669.2775
"599","all",72,1995,141535683607.445,32591925061.1771,472610562754.29
"600","all",72,1996,16030681676.8567,3838426588.20897,35889257027.6844
"601","all",72,1997,74621318777.9798,19475550175.9122,199295578938.077
