"","pyabbr","prey","pynam","collcat","collsci","collcom"
"7","ANALUP","FIS_BEN","ANARHICHAS LUPUS","ANALUP","ANARHICHAS LUPUS","ATLANTIC WOLFFISH"
"9","CENSTR","FIS_BEN","CENTROPRISTIS STRIATA","CENSTR","CENTROPRISTIS STRIATA","BLACK SEA BASS"
"14","GLYCYN","FIS_BEN","GLYPTOCEPHALUS CYNOGLOSSUS","GLYCYN","GLYPTOCEPHALUS CYNOGLOSSUS","WITCH FLOUNDER"
"18","HIPPLA","FIS_BEN","HIPPOGLOSSOIDES PLATESSOIDES","HIPPLA","HIPPOGLOSSOIDES PLATESSOIDES","AMERICAN PLAICE"
"19","LIMFER","FIS_BEN","LIMANDA FERRUGINEA","LIMFER","PLEURONECTES FERRUGINUS","YELLOWTAIL FLOUNDER"
"21","LOPCHA","FIS_BEN","LOPHOLATILUS CHAMAELEONTICEPS","LOPCHA","LOPHOLATILUS CHAMAELEONTICEPS","TILEFISH"
"23","MACAME","FIS_BEN","MACROZOARCES AMERICANUS","MACAME","MACROZOARCES AMERICANUS","OCEAN POUT"
"24","MELAEG","FIS_BEN","MELANOGRAMMUS AEGLEFINUS","MELAEG","MELANOGRAMMUS AEGLEFINUS","HADDOCK"
"28","MUSCAN","FIS_BEN","MUSTELUS CANIS","MUSCAN","MUSTELUS CANIS","SMOOTH DOGFISH"
"32","PLEAME","FIS_BEN","PSEUDOPLEURONECTES AMERICANUS","PLEAME","PLEURONECTES AMERICANUS","WINTER FLOUNDER"
"37","RAJGAR","FIS_BEN","RAJA GARMANI","RAJGAR","RAJA GARMANI","ROSETTE SKATE"
"46","STECHR","FIS_BEN","STENOTOMUS CHRYSOPS","STECHR","STENOTOMUS CHRYSOPS","SCUP"
"12","CYNREG","FIS_PISC","CYNOSCION REGALIS","CYNREG","CYNOSCION REGALIS","WEAKFISH"
"13","GADMOR","FIS_PISC","GADUS MORHUA","GADMOR","GADUS MORHUA","ATLANTIC COD"
"16","HEMAME","FIS_PISC","HEMITRIPTERUS AMERICANUS","HEMAME","HEMITRIPTERUS AMERICANUS","SEA RAVEN"
"17","HIPHIP","FIS_PISC","HIPPOGLOSSUS HIPPOGLOSSUS","HIPHIP","HIPPOGLOSSUS HIPPOGLOSSUS","ATLANTIC HALIBUT"
"20","LOPAME","FIS_PISC","LOPHIUS AMERICANUS","LOPAME","LOPHIUS AMERICANUS","GOOSEFISH"
"22","LOPFAM","FIS_PISC","LOPHIIDAE","LOPFAM","LOPHIIDAE","GOOSEFISHES"
"25","MERALB","FIS_PISC","MERLUCCIUS ALBIDUS","MERALB","MERLUCCIUS ALBIDUS","OFFSHORE HAKE"
"26","MERBIL","FIS_PISC","MERLUCCIUS BILINEARIS","MERBIL","MERLUCCIUS BILINEARIS","SILVER HAKE"
"27","MORSAX","FIS_PISC","MORONE SAXATILIS","MORSAX","MORONE SAXATILIS","STRIPED BASS"
"29","PARDEN","FIS_PISC","PARALICHTHYS DENTATUS","PARDEN","PARALICHTHYS DENTATUS","SUMMER FLOUNDER"
"30","PAROBL","FIS_PISC","PARALICHTHYS OBLONGUS","PAROBL","PARALICHTHYS OBLONGUS","FOURSPOT FLOUNDER"
"33","POLVIR","FIS_PISC","POLLACHIUS VIRENS","POLVIR","POLLACHIUS VIRENS","POLLOCK"
"34","POMFAM","FIS_PISC","POMATOMIDAE","POMFAM","POMATOMIDAE","BLUEFISHES"
"35","RAJEGL","FIS_PISC","RAJA EGLANTERIA","RAJEGL","RAJA EGLANTERIA","CLEARNOSE SKATE"
"36","RAJERI","FIS_PISC","RAJA ERINACEA","RAJERI","RAJA ERINACEA","LITTLE SKATE"
"38","RAJRAD","FIS_PISC","RAJA RADIATA","RAJRAD","RAJA RADIATA","THORNY SKATE"
"39","RAJSEN","FIS_PISC","RAJA SENTA","RAJSEN","RAJA SENTA","SMOOTH SKATE"
"40","SCOAQU","FIS_PISC","SCOPHTHALMUS AQUOSUS","SCOAQU","SCOPHTHALMUS AQUOSUS","WINDOWPANE"
"44","SEBFAS","FIS_PISC","SEBASTES FASCIATUS","SEBFAS","SEBASTES FASCIATUS","ACADIAN REDFISH"
"45","SQUACA","FIS_PISC","SQUALUS ACANTHIAS","SQUACA","SQUALUS ACANTHIAS","SPINY DOGFISH"
"47","UROCHU","FIS_PISC","UROPHYCIS CHUSS","UROCHU","UROPHYCIS CHUSS","RED HAKE"
"48","UROTEN","FIS_PISC","UROPHYCIS TENUIS","UROTEN","UROPHYCIS TENUIS","WHITE HAKE"
"49","ZENCON","FIS_PISC","ZENOPSIS CONCHIFERA","ZENCON","ZENOPSIS CONCHIFERA","BUCKLER DORY"
"1","ALOAES","FIS_PLANK","ALOSA AESTIVALIS","ALOAES","ALOSA AESTIVALIS","BLUEBACK HERRING"
"2","ALOPSE","FIS_PLANK","ALOSA PSEUDOHARENGUS","ALOPSE","ALOSA PSEUDOHARENGUS","ALEWIFE"
"3","ALOSAP","FIS_PLANK","ALOSA SAPIDISSIMA","ALOSAP","ALOSA SAPIDISSIMA","AMERICAN SHAD"
"4","AMMDUB","FIS_PLANK","AMMODYTES DUBIUS","AMMDUB","AMMODYTES DUBIUS","SAND LANCES"
"5","AMMFAM","FIS_PLANK","AMMODYTIDAE","AMMFAM","AMMODYTIDAE","SAND LANCES"
"6","AMMOSP","FIS_PLANK","AMMODYTES SP","AMMOSP","AMMODYTES SP","SAND LANCES"
"8","BRETYR","FIS_PLANK","BREVOORTIA TYRANNUS","BRETYR","BREVOORTIA TYRANNUS","ATLANTIC MENHADEN"
"10","CLUFAM","FIS_PLANK","CLUPEIDAE","CLUFAM","CLUPEIDAE","HERRINGS"
"11","CLUHAR","FIS_PLANK","CLUPEA HARENGUS","CLUHAR","CLUPEA HARENGUS","ATLANTIC HERRING"
"15","HELDAC","FIS_PLANK","HELICOLENUS DACTYLOPTERUS","HELDAC","HELICOLENUS DACTYLOPTERUS","BLACKBELLY ROSEFISH"
"31","PEPTRI","FIS_PLANK","PEPRILUS TRIACANTHUS","PEPTRI","PEPRILUS TRIACANTHUS","BUTTERFISH"
"41","SCOFAM","FIS_PLANK","SCOMBRIDAE","SCOFAM","SCOMBRIDAE","MACKERELS"
"42","SCOMSP","FIS_PLANK","SCOMBER SP","SCOMSP","SCOMBER SP",""
"43","SCOSCO","FIS_PLANK","SCOMBER SCOMBRUS","SCOSCO","SCOMBER SCOMBRUS","ATLANTIC MACKEREL"
